Formula SMILES Hf_298K_G4 Acyclic Alicyclic Conjugated Heterocyclic Hydrocarbon N-containing O-containing S-containing Cl-containing Sparse_Fragment_Containing
C4H11N CCCCN -21.11178778 1 0 0 0 0 1 0 0 0 0
C4H11NO CCN(O)CC -29.15116432 1 0 0 0 0 1 1 0 0 1
C4H11NO2 OCCNCCO -90.19246105 1 0 0 0 0 1 1 0 0 0
C4H12N2 CC(C)(N)CN -21.36048059 1 0 0 0 0 1 0 0 0 0
C4H12N2 CCC(N)CN -16.1320756 1 0 0 0 0 1 0 0 0 0
C4H12N2 NCCCCN -12.65567574 1 0 0 0 0 1 0 0 0 0
C4H2 C#CC#C 109.9916253 1 0 0 0 1 0 0 0 0 0
C4H2N2 N#C\C=C\C#N 79.85956672 1 0 0 0 0 1 0 0 0 0
C4H2N2S N#Cc1cscn1 69.42363687 0 0 1 1 0 1 0 1 0 1
C4H2O4 OC1=C(O)C(=O)C1=O -97.70085602 0 1 0 0 0 0 1 0 0 0
C4H4N2 c1cncnc1 44.40022103 0 0 1 1 0 1 0 0 0 0
C4H4N2 c1cnccn1 48.81662937 0 0 1 1 0 1 0 0 0 0
C4H4N2 N#CCCC#N 49.44790343 1 0 0 0 0 1 0 0 0 0
C4H4N2 c1ccnnc1 66.62909985 0 0 1 1 0 1 0 0 0 1
C4H4N2O2 O=C1NC=CC(=O)N1 -71.49387866 0 0 0 1 0 1 1 0 0 0
C4H4N2O3 O=C1CC(=O)NC(=O)N1 -126.7476599 0 0 0 1 0 1 1 0 0 0
C4H4O OC(=C)C#C 28.91578158 1 0 0 0 0 0 1 0 0 0
C4H4O2 C=C1CC(=O)O1 -45.87047228 0 0 0 1 0 0 1 0 0 0
C4H4O3 O=C1CCC(=O)O1 -125.4075968 0 0 0 1 0 0 1 0 0 0
C4H4O4 O=C1COC(=O)CO1 -149.1516411 0 0 0 1 0 0 1 0 0 0
C4H4S s1cccc1 27.26282645 0 0 1 1 0 0 0 1 0 0
C4H5N C\C=C/C#N 35.17534336 1 0 0 0 0 1 0 0 0 0
C4H5N C/C=C/C#N 36.74474337 1 0 0 0 0 1 0 0 0 0
C4H5N [nH]1cccc1 26.03504726 0 0 1 1 0 1 0 0 0 0
C4H5N C=CCC#N 39.80761479 1 0 0 0 0 1 0 0 0 0
C4H5N N#CC1CC1 44.34952494 0 1 0 0 0 1 0 0 0 0
C4H5N3O NC1=CC=NC(=O)N1 -8.827532876 0 0 0 1 0 1 1 0 0 1
C4H5N3O2 CC1=NNC(=O)NC1=O -52.83949036 0 0 0 1 0 1 1 0 0 1
C4H5N3OS CC1=NNC(=S)NC1=O 5.909688319 0 0 0 1 0 1 1 1 0 1
C4H5NO Cc1oncc1 8.318854426 0 0 1 1 0 1 1 0 0 0
C4H5NO Cc1ccon1 9.29525843 0 0 1 1 0 1 1 0 0 0
C4H5NO2 O=C1CCC(=O)N1 -87.94075741 0 0 0 1 0 1 1 0 0 0
C4H5NO2 COC(=O)CC#N -60.0015467 1 0 0 0 0 1 1 0 0 0
C4H5NS Cc1cscn1 25.77982343 0 0 1 1 0 1 0 1 0 1
C4H6 CC#CC 40.08510591 1 0 0 0 1 0 0 0 0 0
C4H6 C#CCC 35.55637346 1 0 0 0 1 0 0 0 0 0
C4H6 C=CC=C 26.73359692 1 0 0 0 1 0 0 0 0 0
C4H6 C[CH]=[C]=[CH2] 38.90225144 1 0 0 0 1 0 0 0 0 0
C4H6N2 Cc1[nH]ccn1 20.73678953 0 0 1 1 0 1 0 0 0 1
C4H6N2O Cc1onc(N)c1 7.530503872 0 0 1 1 0 1 1 0 0 1
C4H6N2O Cc1nonc1C 25.96922833 0 0 1 1 0 1 1 0 0 1
C4H6N2O2 CC1(C)OC(=O)N=N1 -47.59777555 0 0 0 1 0 1 1 0 0 1
C4H6O CC(=O)C=C -26.06662411 1 0 0 0 0 0 1 0 0 0
C4H6O C\C=C/C=O -21.34273636 1 0 0 0 0 0 1 0 0 0
C4H6O CC(=C)C=O -25.3895419 1 0 0 0 0 0 1 0 0 0
C4H6O O=C1CCC1 -21.08985023 0 1 0 0 0 0 1 0 0 0
C4H6O O\C=C/C=C -13.69277414 1 0 0 0 0 0 1 0 0 0
C4H6O O/C=C/C=C -13.53777942 1 0 0 0 0 0 1 0 0 0
C4H6O OC(=C)C=C -16.49711186 1 0 0 0 0 0 1 0 0 0
C4H6O C1CC=CO1 -17.66616113 0 0 0 1 0 0 1 0 0 0
C4H6O C1OCC=C1 -14.79656247 0 0 0 1 0 0 1 0 0 0
C4H6O C=COC=C -2.568922097 1 0 0 0 0 0 1 0 0 0
C4H6O2 CC(=O)C(=O)C -78.41943122 1 0 0 0 0 0 1 0 0 0
C4H6O2 CC(=C)C(O)=O -79.71084474 1 0 0 0 0 0 1 0 0 0
C4H6O2 O=C1CCCO1 -87.96823567 0 0 0 1 0 0 1 0 0 0
C4H6O2 COC(=O)C=C -72.67521383 1 0 0 0 0 0 1 0 0 0
C4H6O2 CC(=O)C(C)=O -78.04480835 1 0 0 0 0 0 1 0 0 0
C4H6O2 CC(=O)C(C)=O -78.04355333 1 0 0 0 0 0 1 0 0 0
C4H6O2 CC(=O)OC=C -74.91918602 1 0 0 0 0 0 1 0 0 0
C4H6O2S CC(=O)SC(C)=O -78.27806937 1 0 0 0 0 0 1 1 0 1
C4H6O3 CC1COC(=O)O1 -132.6434702 0 0 0 1 0 0 1 0 0 1
C4H6O4 C(CC(=O)O)C(=O)O -195.0182235 1 0 0 0 0 0 1 0 0 0
C4H6O4 COC(=O)C(=O)OC -163.7074069 1 0 0 0 0 0 1 0 0 0
C4H6OS O=C1CCCS1 -40.60081524 0 0 0 1 0 0 1 1 0 1
C4H6OS O=C1CCSC1 -31.90542303 0 0 0 1 0 0 1 1 0 0
C4H6S C1SCC=C1 20.51703758 0 0 0 1 0 0 0 1 0 0
C4H6S C1CC=CS1 19.94914194 0 0 0 1 0 0 0 1 0 0
C4H6S C=CSC=C 40.00370207 1 0 0 0 0 0 0 1 0 0
C4H6S3 S=C1SCCCS1 26.31682042 0 0 0 1 0 0 0 1 0 1
C4H7Cl C/C=C/CCl -7.971363667 1 0 0 0 0 0 0 0 1 0
C4H7Cl CC(Cl)C=C -8.546161911 1 0 0 0 0 0 0 0 1 0
C4H7Cl C/C=C/CCl -7.96948114 1 0 0 0 0 0 0 0 1 0
C4H7Cl C\C=C/CCl -6.383138388 1 0 0 0 0 0 0 0 1 0
C4H7Cl CCC(Cl)=C -9.590964396 1 0 0 0 0 0 0 0 1 0
C4H7Cl ClCCC=C -5.977140065 1 0 0 0 0 0 0 0 1 0
C4H7Cl CC\C=C/Cl -7.158112003 1 0 0 0 0 0 0 0 1 1
C4H7Cl CC/C=C/Cl -6.870085372 1 0 0 0 0 0 0 0 1 1
C4H7N CC(C)C#N 6.704565404 1 0 0 0 0 1 0 0 0 0
C4H7N CCCC#N 7.919422828 1 0 0 0 0 1 0 0 0 0
C4H7N C1CC=NC1 16.76102464 0 0 0 1 0 1 0 0 0 0
C4H7NO O=C1CCCN1 -47.32557326 0 0 0 1 0 1 1 0 0 0
C4H7NO CC(=C)C(N)=O -38.85733931 1 0 0 0 0 1 1 0 0 0
C4H7NO CC1=NCCO1 -30.16508464 0 0 0 1 0 1 1 0 0 1
C4H7NO CCOCC#N -16.13963098 1 0 0 0 0 1 1 0 0 0
C4H7NO4 NC(CC(O)=O)C(O)=O -186.8288028 1 0 0 0 0 1 1 0 0 0
C4H8 C=CCC 0.376896784 1 0 0 0 1 0 0 0 0 0
C4H8 C/C=C/C -2.283741376 1 0 0 0 1 0 0 0 0 0
C4H8 C/C=C\C -0.959069877 1 0 0 0 1 0 0 0 0 0
C4H8 C1CCC1 7.003391824 0 1 0 0 1 0 0 0 0 0
c5h10 C1CCCC1 -17.70593222 0 1 0 0 1 0 0 0 0 0
C5H10 CC\C=C\C -6.993726084 1 0 0 0 1 0 0 0 0 0
C5H10 CC1(C)CC1 -2.266700787 0 1 0 0 1 0 0 0 0 0
C5H10N2 CCN(CC)C#N 20.99284393 1 0 0 0 0 1 0 0 0 1
C5H10N2 CN(C)CCC#N 21.35679915 1 0 0 0 0 1 0 0 0 0
C5H10N2O O=NN1CCCCC1 6.556013127 0 0 0 1 0 1 1 0 0 1
C5H10N2O3 N[C@@H](CCC(N)=O)C(O)=O -147.4718085 1 0 0 0 0 1 1 0 0 0
C5H10O CC(C)C(C)=O -62.48282318 1 0 0 0 0 0 1 0 0 0
C5H10O CCCC(C)=O -61.65137375 1 0 0 0 0 0 1 0 0 0
C5H10O CCC(=O)CC -61.86096176 1 0 0 0 0 0 1 0 0 0
C5H10O OC1CCCC1 -56.53843042 0 1 0 0 0 0 1 0 0 0
C5H10O CC(C)=C(C)O -51.19268125 1 0 0 0 0 0 1 0 0 0
C5H10O CCCCC=O -54.57307223 1 0 0 0 0 0 1 0 0 0
C5H10O C1CCOCC1 -52.78153404 0 0 0 1 0 0 1 0 0 0
C5H10O CC(C)OC=C -40.76097163 1 0 0 0 0 0 1 0 0 0
C5H10O CCCOC=C -36.25043694 1 0 0 0 0 0 1 0 0 0
C5H10O CC1(C)COC1 -35.25897272 0 0 0 1 0 0 1 0 0 0
C5H10O2 CC(C)(C)C(O)=O -116.2694884 1 0 0 0 0 0 1 0 0 0
C5H10O2 CC(C)CC(O)=O -115.0182354 1 0 0 0 0 0 1 0 0 0
C5H10O2 CCCCC(O)=O -113.0114616 1 0 0 0 0 0 1 0 0 0
C5H10O2 CCC(C)C(O)=O -113.3703968 1 0 0 0 0 0 1 0 0 0
C5H10O2 CC(C)OC(C)=O -114.956112 1 0 0 0 0 0 1 0 0 0
C5H10O2 CCOC(=O)CC -110.8660084 1 0 0 0 0 0 1 0 0 0
C5H10O2 CC(C)(C)OC=O -110.2748949 1 0 0 0 0 0 1 0 0 1
C5H10O2 COC(=O)C(C)C -109.4315228 1 0 0 0 0 0 1 0 0 0
C5H10O2 CC1OCCCO1 -88.11002198 0 0 0 1 0 0 1 0 0 0
C5H10O2 CC1CCOCO1 -88.01966068 0 0 0 1 0 0 1 0 0 0
C5H10O2 OCC1CCCO1 -88.30768731 0 0 0 1 0 0 1 0 0 0
C5H10O3 CCOC(=O)OCC -152.5398673 1 0 0 0 0 0 1 0 0 1
C5H10O3 COCCOC(C)=O -136.2051805 1 0 0 0 0 0 1 0 0 0
C5H10O3 OCC1OCCCO1 -121.247876 0 0 0 1 0 0 1 0 0 0
C5H10O3 C1COCOCCO1 -106.6808821 0 0 0 1 0 0 1 0 0 0
C5H10O5 C1OCOCOCOCO1 -178.490592 0 0 0 1 0 0 1 0 0 0
C5H10S CC1CCCS1 -14.88887199 0 0 0 1 0 0 0 1 0 0
C5H10S C1CCSCC1 -14.58202009 0 0 0 1 0 0 0 1 0 0
C5H10S CC1CCSC1 -14.57135244 0 0 0 1 0 0 0 1 0 0
C5H10S SC1CCCC1 -10.80253338 0 0 0 1 0 0 0 1 0 0
C5H10S CCSCC=C 6.068046081 1 0 0 0 0 0 0 1 0 0
C5H11Cl CCCCCCl -41.32155376 1 0 0 0 0 0 0 0 1 0
C5H11Cl CC(C)CCCl -42.66065796 1 0 0 0 0 0 0 0 1 0
C5H11ClO3 COC(CCl)(OC)OC -138.3204612 1 0 0 0 0 0 1 0 1 1
C5H11N NC1CCCC1 -11.90481077 0 1 0 0 0 1 0 0 0 0
C5H11N C1CCNCC1 -11.08904907 0 0 0 1 0 1 0 0 0 0
C5H11NO CC(C)(C)C(N)=O -74.65732453 1 0 0 0 0 1 1 0 0 0
C5H11NO CCC(=O)N(C)C -59.36932277 1 0 0 0 0 1 1 0 0 0
C5H11NO CN(C)CC(C)=O -42.80308517 1 0 0 0 0 1 1 0 0 0
C5H11NO2 CC(C)C(N)C(O)=O -113.2839998 1 0 0 0 0 1 1 0 0 0
C5H11NO2 NCCCCC(O)=O -104.0414197 1 0 0 0 0 1 1 0 0 0
C5H11NO2 COC(=O)CN(C)C -87.8642377 1 0 0 0 0 1 1 0 0 0
C5H11NO2 CCC(C)(C)ON=O -45.65798236 1 0 0 0 0 1 1 0 0 1
C5H11NO2S CSCCC(N)C(O)=O -99.78485384 1 0 0 0 0 1 1 1 0 0
C5H12 CC(C)(C)C -34.66882262 1 0 0 0 1 0 0 0 0 0
C5H12 CCC(C)C -36.12966358 1 0 0 0 1 0 0 0 0 0
C5H12N2 CCCCN=NC 20.20525302 1 0 0 0 0 1 0 0 0 0
C5H12N2O CC(C)(C)NC(N)=O -77.32945711 1 0 0 0 0 1 1 0 0 0
C5H12N2O CCCCNC(N)=O -71.78918015 1 0 0 0 0 1 1 0 0 0
C5H12N2O CCC(C)NC(N)=O -73.32532218 1 0 0 0 0 1 1 0 0 0
C5H12N2O CCNC(=O)NCC -66.92410287 1 0 0 0 0 1 1 0 0 0
C5H12N2O CCN(CC)C(N)=O -67.5679271 1 0 0 0 0 1 1 0 0 0
C5H12N2O CN(C)C(=O)N(C)C -42.23162372 1 0 0 0 0 1 1 0 0 0
C5H12N2S CN(C)C(=S)N(C)C 8.809861911 1 0 0 0 0 1 0 1 0 1
C5H12O CCC(C)(C)O -78.79498674 1 0 0 0 0 0 1 0 0 0
C5H12O CCC(O)CC -74.50219768 1 0 0 0 0 0 1 0 0 0
C5H12O CC(C)C(C)O -75.72144766 1 0 0 0 0 0 1 0 0 0
C5H12O CCCC(C)O -74.54737832 1 0 0 0 0 0 1 0 0 0
C5H12O CCC(C)CO -71.87042493 1 0 0 0 0 0 1 0 0 0
C5H12O CC(C)CCO -71.66711201 1 0 0 0 0 0 1 0 0 0
C5H12O CCCCCO -70.3556182 1 0 0 0 0 0 1 0 0 0
C5H12O COC(C)(C)C -68.12294118 1 0 0 0 0 0 1 0 0 0
C5H12O CCCOCC -64.88122969 1 0 0 0 0 0 1 0 0 0
C5H12O CCCCOC -62.02857377 1 0 0 0 0 0 1 0 0 0
C5H12O2 CCCC(O)CO -111.5004871 1 0 0 0 0 0 1 0 0 0
C5H12O2 OCCCCCO -106.3825237 1 0 0 0 0 0 1 0 0 0
C5H12O2 COC(C)(C)OC -103.4620968 1 0 0 0 0 0 1 0 0 1
C5H12O2 CCOCOCC -100.4889591 1 0 0 0 0 0 1 0 0 0
C5H12O3 COC(C)(OC)OC -136.9720636 1 0 0 0 0 0 1 0 0 1
C5H12O4 COC(OC)(OC)OC -175.9256711 1 0 0 0 0 0 1 0 0 1
C5H12S CC(C)(C)CS -30.91300893 1 0 0 0 0 0 0 1 0 0
C5H12S CCC(C)(C)S -30.47563516 1 0 0 0 0 0 0 1 0 0
C5H12S CC(C)C(C)S -28.80081364 1 0 0 0 0 0 0 1 0 0
C5H12S CSC(C)(C)C -29.32541116 1 0 0 0 0 0 0 1 0 0
C5H12S CCSC(C)C -26.62335741 1 0 0 0 0 0 0 1 0 0
C5H12S CCC(C)CS -27.24208128 1 0 0 0 0 0 0 1 0 0
C5H12S CC(C)CCS -27.31800987 1 0 0 0 0 0 0 1 0 0
C5H12S CCCCCS -25.83144105 1 0 0 0 0 0 0 1 0 0
C5H12S CCCSCC -24.36244248 1 0 0 0 0 0 0 1 0 0
C5H12S CCCCSC -24.07629837 1 0 0 0 0 0 0 1 0 0
C5H12S2 CSSC(C)(C)C -27.55440843 1 0 0 0 0 0 0 1 0 0
C5H12S2 SCCCCCS -16.19335799 1 0 0 0 0 0 0 1 0 0
C5H12S2 CCSCSCC -11.34334093 1 0 0 0 0 0 0 1 0 1
C5H14N2 CN(C)CCCN -8.569866797 1 0 0 0 0 1 0 0 0 0
C5H3N3 CC(C#N)(C#N)C#N 99.8889922 1 0 0 0 0 1 0 0 0 0
C5H4N2O2 OC(=O)c1cnccn1 -40.82295631 0 0 1 1 0 1 1 0 0 0
C5H4O2 O=Cc1occc1 -37.19248536 0 0 1 1 0 0 1 0 0 0
C5H5Cl3O2 ClC(Cl)(Cl)C(=O)OCC=C -82.52225687 1 0 0 0 0 0 1 0 1 0
C5H5N N#CC12CC1C2 83.93609516 0 1 0 0 0 1 0 0 0 0
C5H5N5 Nc1ncnc2nc[nH]c12 61.52206593 0 0 1 1 0 1 0 0 0 1
C5H5N5O NC1=NC(=O)c2[nH]cnc2N1 10.14629033 0 0 0 1 0 1 1 0 0 1
C5H5NO O=C1NC=CC=C1 -16.38224489 0 0 0 1 0 1 1 0 0 0
C5H5NO Oc1cccnc1 -7.358037961 0 0 1 1 0 1 1 0 0 0
C5H5NO O=C1C=CNC=C1 -6.911251553 0 0 0 1 0 1 1 0 0 0
C5H5NO2 CN1C(=O)C=CC1=O -60.27183812 0 0 0 1 0 1 1 0 0 0
C5H6 C1C=CC=C1 32.61038366 0 1 0 0 1 0 0 0 0 0
C5H6 C/C=C/C#C 62.38882326 1 0 0 0 1 0 0 0 0 0
C5H6 C#CC1CC1 70.85705721 0 1 0 0 1 0 0 0 0 0
C5H6 C1C2C=CC12 78.62185358 0 1 0 0 1 0 0 0 0 0
C5H6N2 Nc1ccccn1 28.08884993 0 0 1 1 0 1 0 0 0 1
C5H6N2 Nc1ccncc1 31.84260877 0 0 1 1 0 1 0 0 0 0
C5H6N2 Nc1cccnc1 34.69149963 0 0 1 1 0 1 0 0 0 0
C5H6N2 CC(C)(C#N)C#N 45.29514671 1 0 0 0 0 1 0 0 0 0
C5H6N2O2 CC1=CNC(=O)NC1=O -80.62842933 0 0 0 1 0 1 1 0 0 0
C5H6O2 OCc1occc1 -51.45394951 0 0 1 1 0 0 1 0 0 0
C5H6O3 O=C1CCCC(=O)O1 -128.1089252 0 0 0 1 0 0 1 0 0 0
C5H6S Cc1cscc1 19.29042245 0 0 1 1 0 0 0 1 0 0
C5H6S Cc1sccc1 19.3217979 0 0 1 1 0 0 0 1 0 0
C5H7Cl3O2 CC(C)OC(=O)C(Cl)(Cl)Cl -119.0289151 1 0 0 0 0 0 1 0 1 0
C5H7Cl3O2 CCCOC(=O)C(Cl)(Cl)Cl -114.3188325 1 0 0 0 0 0 1 0 1 0
C5H7N Cn1cccc1 23.97252303 0 0 1 1 0 1 0 0 0 0
C5H7N CC\C=C/C#N 30.53626717 1 0 0 0 0 1 0 0 0 0
C5H7N CC\C=C\C#N 30.81237113 1 0 0 0 0 1 0 0 0 0
C5H7N CC\C=C\C#N 30.81237113 1 0 0 0 0 1 0 0 0 0
C5H7N N#CC1CCC1 37.09436373 0 1 0 0 0 1 0 0 0 0
C5H7NO Cc1onc(C)c1 -1.871793888 0 0 1 1 0 1 1 0 0 0
C5H7NO2 O=C1CCCC(=O)N1 -94.26281274 0 0 0 1 0 1 1 0 0 0
C5H7NO2 CN1C(=O)CCC1=O -92.71788558 0 0 0 1 0 1 1 0 0 0
C5H8 CC(=C)C=C 18.4323782 1 0 0 0 1 0 0 0 0 0
C5H8 C1CC=CC1 9.209878428 0 1 0 0 1 0 0 0 0 0
C5H8 [CH2]=[C]1C[CH2]C1 29.55874028 0 1 0 0 1 0 0 0 0 0
C5H8 C=CC1CC1 31.21787408 0 1 0 0 1 0 0 0 0 0
C5H8 C[C](C)=[C]=[CH2] 30.87964672 1 0 0 0 1 0 0 0 0 0
C5H8 C[CH]=[C]=[CH]C 32.38190327 1 0 0 0 1 0 0 0 0 0
C5H8 CC[CH]=[C]=[CH2] 34.0366445 1 0 0 0 1 0 0 0 0 0
C5H8 C1CC12CC2 44.12824424 0 1 0 0 1 0 0 0 0 0
C5H8Cl2O ClCC1(CCl)COC1 -48.63659852 0 0 0 1 0 0 1 0 1 0
C5H8N2 CCc1[nH]ccn1 16.27027831 0 0 1 1 0 1 0 0 0 1
C5H8N2 C1CC2CC1N=N2 48.91957158 0 0 0 1 0 1 0 0 0 0
C5H8N2O Cc1noc(N)c1C 0.032496677 0 0 1 1 0 1 1 0 0 1
C5H8O O=C1CCCC1 -45.814862 0 1 0 0 0 0 1 0 0 0
C5H8O C\C=C/C(C)=O -29.59751941 1 0 0 0 0 0 1 0 0 0
C5H8O CCC(=C)C=O -29.96272965 1 0 0 0 0 0 1 0 0 0
C5H8O CC1=CCCO1 -29.17269581 0 0 0 1 0 0 1 0 0 0
C5H8O CC(=O)C1CC1 -28.29606574 0 1 0 0 0 0 1 0 0 0
C5H8O C1COC=CC1 -27.63529876 0 0 0 1 0 0 1 0 0 0
C5H8O C1CC2OC2C1 -22.00277798 0 0 0 1 0 0 1 0 0 0
C5H8O2 CC1OC=C(C)O1 -66.10886181 0 0 0 1 0 0 1 0 0 0
C5H8O2 CC1CCC(=O)O1 -98.16202153 0 0 0 1 0 0 1 0 0 0
C5H8O2 CCC(=C)C(O)=O -84.26144217 1 0 0 0 0 0 1 0 0 0
C5H8O2 C/C(O)=C/C(C)=O -78.51094969 1 0 0 0 0 0 1 0 0 0
C5H8O2 CC(=O)CC(C)=O -87.30674334 1 0 0 0 0 0 1 0 0 0
C5H8O2 CC1OCC(=C)O1 -66.1709852 0 0 0 1 0 0 1 0 0 0
C5H8O2 O=C1CCCCO1 -91.10442781 0 0 0 1 0 0 1 0 0 0
C5H8O2 CC1(C)COC1=O -83.62891309 0 0 0 1 0 0 1 0 0 0
C5H8O2 COC(=O)C(C)=C -79.16795161 1 0 0 0 0 0 1 0 0 0
C5H8O2 COC(=O)\C=C\C -81.39686358 1 0 0 0 0 0 1 0 0 0
C5H8O2 CCOC(=O)C=C -80.3037429 1 0 0 0 0 0 1 0 0 0
C5H8O2 COC(=O)C1CC1 -74.33801484 0 1 0 0 0 0 1 0 0 0
C5H8O4 CCC(C(O)=O)C(O)=O -192.4083157 1 0 0 0 0 0 1 0 0 0
C5H8O4 CC(=O)OCOC(C)=O -186.5015735 1 0 0 0 0 0 1 0 0 0
C5H8O4 COC(=O)CC(=O)OC -178.3527417 1 0 0 0 0 0 1 0 0 0
C5H8O4 CC(C)(C(O)=O)C(O)=O -195.6180243 1 0 0 0 0 0 1 0 0 0
C5H8OS O=C1CCSCC1 -39.25031802 0 0 0 1 0 0 1 1 0 0
C5H8OS O=C1CCCSC1 -38.66547964 0 0 0 1 0 0 1 1 0 0
C5H9ClO2 CCCOC(=O)CCl -111.7205563 1 0 0 0 0 0 1 0 1 0
C5H9N CC(C)(C)C#N -1.205087695 1 0 0 0 0 1 0 0 0 0
C5H9N CCC(C)C#N 1.152463618 1 0 0 0 0 1 0 0 0 0
C5H9N CCCCC#N 2.885015967 1 0 0 0 0 1 0 0 0 0
C5H9NO CN1CCCC1=O -50.62742778 0 0 0 1 0 1 1 0 0 0
C5H9NO CCC1=NCCO1 -34.64728358 0 0 0 1 0 1 1 0 0 1
C5H9NO CN(C)\C=C\C=O -19.19048189 1 0 0 0 0 1 1 0 0 0
C5H9NO2 OC(=O)C1CCCN1 -87.69474315 0 0 0 1 0 1 1 0 0 0
C5H9NO4 NC(CCC(O)=O)C(O)=O -189.2508897 1 0 0 0 0 1 1 0 0 0
C5HN3 N#CC=C(C#N)C#N 121.5425124 1 0 0 0 0 1 0 0 0 0
C5N4 N#CC(C#N)(C#N)C#N 162.8613379 1 0 0 0 0 1 0 0 0 0
C6H10 C1CCC=CC1 -0.340083197 0 1 0 0 1 0 0 0 0 0
C6H10 CC1CCC=C1 2.47303965 0 1 0 0 1 0 0 0 0 0
C6H10 CC1CC=CC1 2.063903782 0 1 0 0 1 0 0 0 0 0
C6H10 C1CC2CC2C1 12.52698885 0 1 0 0 1 0 0 0 0 0
C6H10 C/C=C/C=C\C 12.69955382 1 0 0 0 1 0 0 0 0 0
C6H10 CC(=C)C(C)=C 11.07932558 1 0 0 0 1 0 0 0 0 0
C6H10 C=CCCC=C 20.35579113 1 0 0 0 1 0 0 0 0 0
C6H10 CCCCC#C 29.95918887 1 0 0 0 1 0 0 0 0 0
C6H10 C1CC1C2CC2 32.33305541 0 1 0 0 1 0 0 0 0 0
C6H10Cl2O2 CC(C)COC(=O)C(Cl)Cl -121.2208255 1 0 0 0 0 0 1 0 1 1
C6H10Cl2O2 CCCCOC(=O)C(Cl)Cl -118.8237411 1 0 0 0 0 0 1 0 1 1
C6H10N2O2 ONC1=C(CCCC1)N=O 15.387381 0 1 0 0 0 1 1 0 0 1
C6H10O O=C1CCCCC1 -54.25538772 0 1 0 0 0 0 1 0 0 0
C6H10O CC(C)=CC(C)=O -39.62940794 1 0 0 0 0 0 1 0 0 0
C6H10O C1CCC2OC2C1 9.71476227 0 0 0 1 0 0 1 0 0 0
C6H10O2 CC(C(C)=O)C(C)=O -93.72794509 1 0 0 0 0 0 1 0 0 0
C6H10O2 O=C1CCCCCO1 -93.27111854 0 0 0 1 0 0 1 0 0 0
C6H10O2 CCOC(=O)\C=C\C -89.01598001 1 0 0 0 0 0 1 0 0 0
C6H10O2 COC(=O)C1CCC1 -78.92751782 0 1 0 0 0 0 1 0 0 0
C6H10O3 CC12COC(OC1)OC2 -120.7268786 0 0 0 1 0 0 1 0 0 1
C6H10O4 CC(OC(C)=O)OC(C)=O -197.7966377 1 0 0 0 0 0 1 0 0 0
C6H10O4 CC(=O)OCCOC(C)=O -190.7202187 1 0 0 0 0 0 1 0 0 0
C6H10O4 COC(=O)C(C)C(=O)OC -185.1391536 1 0 0 0 0 0 1 0 0 0
C6H11Cl ClC1CCCCC1 -39.04980622 0 1 0 0 0 0 0 0 1 0
C6H11ClO CCC1(CCl)COC1 -47.2517076 0 0 0 1 0 0 1 0 1 0
C6H11ClO2 CCOC(=O)CCCCl -123.2735267 1 0 0 0 0 0 1 0 1 0
C6H11ClO2 CCCOC(=O)CCCl -121.3715469 1 0 0 0 0 0 1 0 1 0
C6H11N3O4 NCC(=O)NCC(=O)NCC(O)=O -179.2429822 1 0 0 0 0 1 1 0 0 0
C6H11NO O=C1CCCCCN1 -54.44823223 0 0 0 1 0 1 1 0 0 0
